time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-240,0.02,0.05,0.03,-0.02,0.01,0.04,0.03,0.03,0.03,0.03,0.03,0.03
-200,0.06,0.10,0.06,-0.06,0.03,0.08,0.06,0.06,0.06,0.06,0.06,0.06
-160,0.10,0.20,0.10,-0.10,0.05,0.15,0.10,0.10,0.10,0.10,0.10,0.10
-120,0.08,0.15,0.08,-0.08,0.04,0.12,0.08,0.08,0.08,0.08,0.08,0.08
-80,0.03,0.05,0.03,-0.03,0.01,0.04,0.03,0.03,0.03,0.03,0.03,0.03
-40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05
-20,-0.03,-0.05,-0.02,0.03,-0.02,-0.03,0.00,0.00,0.00,0.00,-0.05,-0.05
0,0.50,1.10,0.60,-0.90,0.20,0.70,0.10,0.30,0.80,1.20,1.50,1.00
20,0.05,0.10,0.05,-0.05,0.02,0.07,-0.30,-0.20,-0.10,0.05,0.10,0.05
40,-0.10,-0.05,-0.05,0.00,-0.10,-0.05,-0.50,-0.60,-0.40,-0.25,-0.10,-0.05
60,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.20,-0.05,0.00,0.00,0.00
80,0.02,0.05,0.02,-0.02,0.01,0.03,0.00,0.00,0.02,0.03,0.03,0.03
120,0.05,0.10,0.06,-0.06,0.04,0.08,0.02,0.05,0.08,0.10,0.12,0.10
160,0.12,0.20,0.14,-0.14,0.08,0.17,0.05,0.12,0.20,0.25,0.28,0.23
200,0.18,0.30,0.18,-0.18,0.10,0.22,0.08,0.18,0.27,0.36,0.38,0.31
240,0.20,0.35,0.20,-0.20,0.10,0.25,0.10,0.20,0.30,0.40,0.40,0.35
280,0.18,0.30,0.17,-0.17,0.08,0.22,0.08,0.17,0.25,0.35,0.35,0.30
320,0.12,0.20,0.10,-0.10,0.05,0.15,0.05,0.10,0.15,0.22,0.22,0.18
360,0.06,0.10,0.05,-0.05,0.02,0.07,0.02,0.05,0.07,0.10,0.10,0.08
400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
