time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-280,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-270,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-260,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-250,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-240,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-230,0.001,0.001,0.001,-0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001
-220,0.003,0.003,0.002,-0.003,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001
-210,0.006,0.007,0.005,-0.007,0.001,0.006,0.003,0.003,0.003,0.003,0.003,0.003
-200,0.012,0.015,0.009,-0.014,0.003,0.012,0.005,0.007,0.007,0.007,0.007,0.007
-190,0.022,0.027,0.017,-0.025,0.005,0.022,0.01,0.012,0.012,0.012,0.012,0.012
-180,0.037,0.045,0.029,-0.041,0.008,0.037,0.016,0.021,0.021,0.021,0.021,0.021
-170,0.055,0.067,0.042,-0.061,0.012,0.055,0.024,0.03,0.03,0.03,0.03,0.03
-160,0.072,0.088,0.056,-0.08,0.016,0.072,0.032,0.04,0.04,0.04,0.04,0.04
-150,0.085,0.104,0.066,-0.095,0.019,0.085,0.038,0.047,0.047,0.047,0.047,0.047
-140,0.09,0.11,0.07,-0.1,0.02,0.09,0.04,0.05,0.05,0.05,0.05,0.05
-130,0.085,0.104,0.066,-0.095,0.019,0.085,0.038,0.047,0.047,0.047,0.047,0.047
-120,0.072,0.088,0.056,-0.08,0.016,0.072,0.032,0.04,0.04,0.04,0.04,0.04
-110,0.055,0.067,0.043,-0.061,0.012,0.055,0.024,0.03,0.03,0.031,0.031,0.031
-100,0.037,0.046,0.029,-0.041,0.008,0.037,0.017,0.021,0.021,0.021,0.021,0.021
