time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-200,0.02,0.03,0.01,-0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
-160,0.04,0.07,0.03,-0.05,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02
-120,0.05,0.10,0.05,-0.08,0.02,0.08,0.03,0.03,0.02,0.02,0.02,0.02
-80,0.03,0.07,0.03,-0.05,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02
-40,0.01,0.03,0.01,-0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-10,-0.01,-0.02,-0.05,0.02,-0.03,-0.03,0.00,0.00,0.00,-0.02,-0.03,-0.03
0,0.55,1.00,0.70,-0.75,0.20,0.80,0.12,0.25,0.60,1.10,1.40,1.20
20,0.00,-0.05,-0.10,0.05,-0.03,-0.08,-0.40,-0.30,-0.20,-0.10,-0.05,-0.05
40,0.00,-0.02,-0.02,0.02,-0.01,-0.02,-0.10,-0.05,-0.05,-0.03,-0.02,-0.02
60,0.01,0.01,0.01,-0.01,0.00,0.01,-0.05,-0.02,0.00,0.00,0.01,0.01
80,0.02,0.03,0.02,-0.02,0.01,0.02,-0.02,0.02,0.05,0.06,0.06,0.05
120,0.05,0.08,0.05,-0.05,0.02,0.06,0.01,0.05,0.10,0.15,0.17,0.13
160,0.10,0.18,0.12,-0.12,0.04,0.14,-0.02,0.08,0.18,0.28,0.30,0.24
200,0.12,0.22,0.15,-0.15,0.05,0.18,-0.05,0.10,0.22,0.35,0.35,0.28
240,0.10,0.18,0.12,-0.12,0.04,0.14,-0.04,0.08,0.18,0.28,0.28,0.22
280,0.04,0.08,0.05,-0.05,0.02,0.06,-0.02,0.04,0.08,0.12,0.12,0.10
320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
