time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-280,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-270,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-260,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-250,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-240,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-230,0.001,0.001,0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
-220,0.002,0.003,0.002,-0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
-210,0.005,0.007,0.004,-0.006,0.001,0.005,0.002,0.003,0.003,0.003,0.003,0.003
-200,0.011,0.014,0.008,-0.012,0.003,0.011,0.004,0.005,0.005,0.005,0.005,0.005
-190,0.02,0.025,0.015,-0.022,0.005,0.02,0.007,0.01,0.01,0.01,0.01,0.01
-180,0.033,0.041,0.025,-0.037,0.008,0.033,0.012,0.016,0.016,0.016,0.016,0.016
-170,0.049,0.061,0.036,-0.055,0.012,0.049,0.018,0.024,0.024,0.024,0.024,0.024
-160,0.064,0.08,0.048,-0.072,0.016,0.064,0.024,0.032,0.032,0.032,0.032,0.032
-150,0.076,0.095,0.057,-0.085,0.019,0.076,0.028,0.038,0.038,0.038,0.038,0.038
-140,0.08,0.1,0.06,-0.09,0.02,0.08,0.03,0.04,0.04,0.04,0.04,0.04
-130,0.076,0.095,0.057,-0.085,0.019,0.076,0.028,0.038,0.038,0.038,0.038,0.038
-120,0.064,0.08,0.048,-0.072,0.016,0.064,0.024,0.032,0.032,0.032,0.032,0.032
-110,0.049,0.061,0.036,-0.055,0.012,0.049,0.018,0.024,0.024,0.024,0.024,0.024
-100,0.033,0.041,0.025,-0.037,0.008,0.033,0.012,0.017,0.017,0.017,0.017,0.017
